metric,sn,scan_id,scan_processed_date,mean,median,min,max
Can Max Denting (mm),LH1T-46,2325,2024-02-01 22:20:18,0.033,0.03162,0.02397,0.04459
Can Circularity (Dmin/Dmax) (%),LH1T-46,2325,2024-02-01 22:20:18,99.798,99.79640,99.60404,99.96982
Can Wall Thickness (mm),LH1T-46,2325,2024-02-01 22:20:18,0.232,0.23151,0.22814,0.23570
Can Outer Diameter (mm),LH1T-47,2326,2024-02-01 22:29:38,21.006,21.00434,20.97744,21.03551
Can Max Denting (mm),LH1T-47,2326,2024-02-01 22:29:38,0.041,0.03783,0.02630,0.06998
Can Inner Diameter (mm),LH1T-47,2326,2024-02-01 22:29:38,20.545,20.54276,20.51669,20.57222
Can Wall Thickness (mm),LH1T-47,2326,2024-02-01 22:29:38,0.231,0.23078,0.22846,0.23689
Can Circularity (Dmin/Dmax) (%),LH1T-47,2326,2024-02-01 22:29:38,99.370,99.32835,99.12099,99.85048
Can Inner Diameter (mm),LH1T-48,2327,2024-02-01 22:38:56,20.545,20.54179,20.51805,20.57229
Can Outer Diameter (mm),LH1T-48,2327,2024-02-01 22:38:56,21.007,21.00409,20.97953,21.03431
Can Max Denting (mm),LH1T-48,2327,2024-02-01 22:38:56,0.047,0.04712,0.02996,0.07111
Can Wall Thickness (mm),LH1T-48,2327,2024-02-01 22:38:56,0.231,0.23092,0.22851,0.23447
Can Circularity (Dmin/Dmax) (%),LH1T-48,2327,2024-02-01 22:38:56,99.501,99.48497,99.33411,99.79946
Can Inner Diameter (mm),LH1T-49,2328,2024-02-01 22:48:09,20.545,20.54283,20.51769,20.57390
Can Outer Diameter (mm),LH1T-49,2328,2024-02-01 22:48:09,21.006,21.00366,20.97815,21.03556
Can Max Denting (mm),LH1T-49,2328,2024-02-01 22:48:09,0.030,0.03064,0.02200,0.04235
Can Wall Thickness (mm),LH1T-49,2328,2024-02-01 22:48:09,0.230,0.23056,0.22837,0.23393
Can Circularity (Dmin/Dmax) (%),LH1T-49,2328,2024-02-01 22:48:09,99.789,99.76447,99.65064,99.98908
Can Inner Diameter (mm),LH1T-50,2329,2024-02-01 22:57:20,20.547,20.54622,20.51652,20.57378
Can Max Denting (mm),LH1T-50,2329,2024-02-01 22:57:20,0.035,0.03381,0.02297,0.05172
