metric,sn,scan_id,scan_processed_date,mean,median,min,max
Anode Overhang (Top) (mm),LH1T-52,2331,2024-02-01 23:15:45,0.543,0.55760,0.47814,0.60769
Anode Overhang (Bottom) (mm),LH1T-52,2331,2024-02-01 23:15:45,0.577,0.57423,0.50840,0.64483
Anode Overhang (All) (mm),LH1T-53,2332,2024-02-01 23:24:58,0.565,0.56360,0.39496,0.73873
Anode Overhang (Top) (mm),LH1T-53,2332,2024-02-01 23:24:58,0.584,0.57774,0.44310,0.72179
Anode Overhang (Bottom) (mm),LH1T-53,2332,2024-02-01 23:24:58,0.546,0.55324,0.39496,0.73873
Anode Overhang (All) (mm),LH1T-54,2333,2024-02-01 23:34:13,0.561,0.56930,0.44401,0.67420
Anode Overhang (Top) (mm),LH1T-54,2333,2024-02-01 23:34:13,0.545,0.54145,0.44401,0.65784
Anode Overhang (Bottom) (mm),LH1T-54,2333,2024-02-01 23:34:13,0.578,0.59040,0.45920,0.67420
Anode Overhang (All) (mm),LH1T-55,2334,2024-02-01 23:43:27,0.572,0.59063,0.36080,0.77150
Anode Overhang (Top) (mm),LH1T-55,2334,2024-02-01 23:43:27,0.629,0.62857,0.44310,0.77150
Anode Overhang (Bottom) (mm),LH1T-55,2334,2024-02-01 23:43:27,0.515,0.51784,0.36080,0.68880
Anode Overhang (All) (mm),LH1T-56,2335,2024-02-01 23:52:42,0.562,0.56622,0.36229,0.75511
Anode Overhang (Top) (mm),LH1T-56,2335,2024-02-01 23:52:42,0.605,0.59245,0.46183,0.75511
Anode Overhang (Bottom) (mm),LH1T-56,2335,2024-02-01 23:52:42,0.518,0.52888,0.36229,0.65292
Anode Overhang (All) (mm),LH1T-57,2336,2024-02-02 00:01:59,0.567,0.57423,0.37720,0.75458
Anode Overhang (Top) (mm),LH1T-57,2336,2024-02-02 00:01:59,0.587,0.59854,0.39360,0.72235
Anode Overhang (Bottom) (mm),LH1T-57,2336,2024-02-02 00:01:59,0.546,0.52710,0.37720,0.75458
Anode Overhang (All) (mm),LH1T-58,2337,2024-02-02 00:11:18,0.563,0.55784,0.42672,0.70596
Anode Overhang (Top) (mm),LH1T-58,2337,2024-02-02 00:11:18,0.583,0.57983,0.45920,0.69055
Anode Overhang (Bottom) (mm),LH1T-58,2337,2024-02-02 00:11:18,0.542,0.54219,0.42672,0.70596
Anode Overhang (All) (mm),LH1T-59,2338,2024-02-02 00:20:38,0.564,0.55784,0.45949,0.67559
Anode Overhang (Top) (mm),LH1T-59,2338,2024-02-02 00:20:38,0.548,0.54132,0.45949,0.65620
Anode Overhang (Bottom) (mm),LH1T-59,2338,2024-02-02 00:20:38,0.582,0.59040,0.47560,0.67559
Anode Overhang (All) (mm),LH1T-60,2339,2024-02-02 00:29:55,0.559,0.55784,0.44552,0.65784
Anode Overhang (Top) (mm),LH1T-60,2339,2024-02-02 00:29:55,0.545,0.55784,0.44552,0.60702
Anode Overhang (Bottom) (mm),LH1T-60,2339,2024-02-02 00:29:55,0.572,0.57400,0.49200,0.65784
Anode Overhang (All) (mm),LH1T-61,2340,2024-02-02 00:39:09,0.557,0.55977,0.31160,0.80427
Anode Overhang (Top) (mm),LH1T-61,2340,2024-02-02 00:39:09,0.582,0.57600,0.44280,0.80427
Anode Overhang (Bottom) (mm),LH1T-61,2340,2024-02-02 00:39:09,0.533,0.54516,0.31160,0.68900
Anode Overhang (All) (mm),LH1T-62,2341,2024-02-02 00:48:25,0.557,0.55784,0.44280,0.67420
Anode Overhang (Top) (mm),LH1T-62,2341,2024-02-02 00:48:25,0.570,0.56360,0.44310,0.67260
Anode Overhang (Bottom) (mm),LH1T-62,2341,2024-02-02 00:48:25,0.543,0.54343,0.44280,0.67420
Anode Overhang (All) (mm),LH1T-63,2342,2024-02-02 00:57:33,0.558,0.55784,0.36080,0.77150
Anode Overhang (Top) (mm),LH1T-63,2342,2024-02-02 00:57:33,0.508,0.49879,0.36080,0.67320
Anode Overhang (Bottom) (mm),LH1T-63,2342,2024-02-02 00:57:33,0.611,0.62857,0.44280,0.77150
