metric,sn,scan_id,scan_processed_date,mean,median,min,max
Cathode Width (mm),LH1T-181,2514,2024-02-05 00:42:05,64.041,64.05853,63.84525,64.17322
Cathode Width (mm),LH1T-182,2515,2024-02-05 00:51:16,64.036,64.04225,63.87800,64.15710
Cathode Width (mm),LH1T-183,2516,2024-02-05 01:00:34,64.017,64.02573,63.86162,64.14041
Cathode Width (mm),LH1T-184,2517,2024-02-05 01:09:50,64.031,64.04210,63.87800,64.17322
Cathode Width (mm),LH1T-185,2518,2024-02-05 01:19:08,64.041,64.05841,63.89440,64.17367
Cathode Width (mm),LH1T-186,2519,2024-02-05 01:28:25,64.065,64.09121,63.87800,64.17328
Cathode Width (mm),LH1T-187,2520,2024-02-05 01:37:45,64.038,64.05843,63.87800,64.15693
Cathode Width (mm),LH1T-188,2521,2024-02-05 01:46:59,64.041,64.05853,63.87800,64.17345
Cathode Width (mm),LH1T-189,2522,2024-02-05 01:56:19,64.088,64.12400,63.96010,64.20613
Cathode Width (mm),LH1T-190,2523,2024-02-05 02:05:35,64.042,64.05857,63.89441,64.17330
Cathode Width (mm),LH1T-191,2524,2024-02-05 02:14:54,64.040,64.05850,63.86165,64.17337
Cathode Width (mm),LH1T-192,2525,2024-02-05 02:24:06,64.020,64.04200,63.84522,64.14045
Cathode Width (mm),LH1T-193,2526,2024-02-05 02:33:25,64.018,64.02577,63.89461,64.12417
Cathode Width (mm),LH1T-194,2527,2024-02-05 02:42:44,64.103,64.14040,63.92721,64.20608
Cathode Width (mm),LH1T-195,2528,2024-02-05 02:52:01,64.031,64.05850,63.89445,64.14075
Cathode Width (mm),LH1T-196,2529,2024-02-05 03:01:11,64.044,64.05891,63.86163,64.15741
Cathode Width (mm),LH1T-197,2530,2024-02-05 03:10:14,64.046,64.07480,63.87800,64.18973
Cathode Width (mm),LH1T-198,2531,2024-02-05 03:19:23,64.040,64.05870,63.89450,64.15721
Cathode Width (mm),LH1T-199,2532,2024-02-05 03:28:31,64.042,64.05842,63.89440,64.17345
Cathode Width (mm),LH1T-200,2533,2024-02-05 03:37:46,64.017,64.02577,63.87800,64.10777
Cathode Width (mm),LH1T-201,2534,2024-02-05 03:47:00,64.027,64.04209,63.86161,64.14053
